Date,Level1,Level2,Level3,Level4
2019-01-08 18:00:00,59,31.6,12.9,10.28
2019-01-08 19:00:00,48,17.7,70.9,9.81
2019-01-08 20:00:00,11,31.2,25.6,10.95
2019-01-08 21:00:00,31,33.3,55.7,10.82
2019-01-08 22:00:00,38,27.9,74.3,10.99
2019-01-08 23:00:00,20,20.1,20.0,10.45
2019-01-09 00:00:00,47,30.9,25.4,9.7
2019-01-09 01:00:00,18,16.3,61.0,10.69
2019-01-09 02:00:00,18,28.6,78.4,10.25
2019-01-09 03:00:00,43,20.1,48.8,10.34
2019-01-09 04:00:00,64,15.6,41.6,9.83
2019-01-09 05:00:00,55,19.9,57.3,10.54
2019-01-09 06:00:00,36,17.1,48.5,9.51
2019-01-09 07:00:00,74,26.0,30.9,10.73
2019-01-09 08:00:00,26,14.1,24.3,10.01
2019-01-09 09:00:00,58,32.3,57.1,9.11
2019-01-09 10:00:00,61,30.5,62.3,9.49
2019-01-09 11:00:00,57,35.8,55.6,9.1
2019-01-09 12:00:00,66,35.1,37.5,10.0
2019-01-09 13:00:00,66,23.4,64.7,9.82
2019-01-09 14:00:00,61,21.1,25.0,9.59
2019-01-09 15:00:00,49,18.9,17.2,10.64
2019-01-09 16:00:00,41,25.9,54.5,10.16
2019-01-09 17:00:00,43,33.9,22.5,10.98
2019-01-09 18:00:00,42,17.7,34.5,9.99
2019-01-09 19:00:00,52,37.7,31.0,9.26
2019-01-09 20:00:00,10,35.6,35.7,9.91
2019-01-09 21:00:00,49,30.6,26.9,9.07
2019-01-09 22:00:00,68,18.1,72.6,9.3
2019-01-09 23:00:00,49,14.7,71.0,10.23
2019-01-10 00:00:00,63,37.4,55.1,10.7
2019-01-10 01:00:00,21,20.5,52.0,9.26
2019-01-10 02:00:00,71,22.4,35.0,10.49
2019-01-10 03:00:00,50,24.0,67.0,9.46
2019-01-10 04:00:00,56,31.5,26.0,9.6
2019-01-10 05:00:00,43,25.3,69.3,9.81
2019-01-10 06:00:00,69,22.2,44.4,9.72
2019-01-10 07:00:00,60,26.9,47.6,9.79
2019-01-10 08:00:00,60,15.1,65.6,10.57
2019-01-10 09:00:00,29,16.4,29.6,9.57
2019-01-10 10:00:00,25,19.6,31.7,9.15
2019-01-10 11:00:00,13,27.0,79.1,9.6
2019-01-10 12:00:00,70,22.7,13.1,10.51
2019-01-10 13:00:00,61,34.2,22.2,9.17
2019-01-10 14:00:00,75,15.8,33.7,10.54
2019-01-10 15:00:00,46,23.8,21.4,10.98
2019-01-10 16:00:00,47,28.9,78.6,9.82
2019-01-10 17:00:00,70,23.2,76.9,9.44
2019-01-10 18:00:00,56,26.2,60.5,9.68
2019-01-10 19:00:00,51,34.3,59.6,10.83
2019-01-10 20:00:00,46,15.7,18.8,9.33
2019-01-10 21:00:00,68,33.7,48.4,10.86
2019-01-10 22:00:00,21,15.5,37.8,10.63
2019-01-10 23:00:00,24,20.7,61.2,9.22
2019-01-11 00:00:00,49,15.3,73.2,10.48
2019-01-11 01:00:00,49,36.6,36.2,9.49
2019-01-11 02:00:00,12,14.6,19.4,9.17
2019-01-11 03:00:00,38,22.7,46.4,10.39
2019-01-11 04:00:00,35,29.7,21.3,9.24
2019-01-11 05:00:00,75,35.7,71.1,10.28
2019-01-11 06:00:00,77,20.1,16.0,10.38
2019-01-11 07:00:00,23,22.5,54.3,9.43
2019-01-11 08:00:00,69,16.0,69.4,9.54
2019-01-11 09:00:00,45,36.8,70.8,9.06
2019-01-11 10:00:00,49,37.3,63.2,10.85
2019-01-11 11:00:00,58,16.6,54.0,9.61
2019-01-11 12:00:00,47,20.2,37.1,10.13
2019-01-11 13:00:00,73,14.1,45.0,10.74
2019-01-11 14:00:00,12,27.1,63.3,10.33
2019-01-11 15:00:00,72,14.4,45.5,9.08
2019-01-11 16:00:00,34,31.1,64.9,10.51
2019-01-11 17:00:00,53,26.6,74.3,9.77
2019-01-11 18:00:00,32,36.2,55.8,10.89
2019-01-11 19:00:00,57,36.9,67.5,9.5
2019-01-11 20:00:00,27,16.1,31.0,9.55
2019-01-11 21:00:00,48,27.7,15.9,10.66
2019-01-11 22:00:00,39,21.9,57.9,9.51
2019-01-11 23:00:00,51,32.6,35.2,10.51
2019-01-12 00:00:00,19,35.5,35.1,10.78
2019-01-12 01:00:00,28,17.1,50.2,10.46
2019-01-12 02:00:00,44,18.6,74.6,10.51
2019-01-12 03:00:00,53,24.2,35.4,10.67
2019-01-12 04:00:00,16,31.8,38.4,9.58
2019-01-12 05:00:00,19,24.1,28.2,10.77
2019-01-12 06:00:00,16,19.1,50.7,10.98
2019-01-12 07:00:00,38,33.9,66.6,10.72
2019-01-12 08:00:00,77,18.3,61.5,10.3
2019-01-12 09:00:00,39,29.1,61.1,9.75
2019-01-12 10:00:00,70,21.1,45.7,9.82
2019-01-12 11:00:00,57,24.9,67.3,10.25
2019-01-12 12:00:00,68,20.2,32.2,9.09
2019-01-12 13:00:00,44,29.0,52.6,10.34
2019-01-12 14:00:00,32,36.8,17.0,10.9
2019-01-12 15:00:00,45,22.2,41.1,9.32
2019-01-12 16:00:00,68,35.4,47.6,10.77
2019-01-12 17:00:00,69,34.0,16.4,10.17
2019-01-12 18:00:00,31,25.9,76.6,10.43
2019-01-12 19:00:00,12,16.2,16.0,10.07
2019-01-12 20:00:00,45,28.8,69.5,9.08
2019-01-12 21:00:00,27,14.2,72.4,9.82
2019-01-12 22:00:00,60,35.9,60.0,9.87
2019-01-12 23:00:00,43,20.5,26.5,9.61
2019-01-13 00:00:00,35,28.1,44.2,9.71
2019-01-13 01:00:00,20,17.5,28.3,10.92
2019-01-13 02:00:00,47,23.5,65.8,10.95
2019-01-13 03:00:00,13,22.6,76.9,9.35
2019-01-13 04:00:00,56,34.2,65.1,10.1
2019-01-13 05:00:00,10,20.4,32.8,10.47
2019-01-13 06:00:00,13,32.6,31.1,10.75
2019-01-13 07:00:00,36,34.7,64.0,9.59
2019-01-13 08:00:00,50,15.5,32.1,9.43
2019-01-13 09:00:00,15,22.7,68.1,9.8
2019-01-13 10:00:00,66,37.1,39.7,9.81
2019-01-13 11:00:00,13,28.8,40.3,10.22
2019-01-13 12:00:00,77,24.0,34.2,10.07
2019-01-13 13:00:00,51,22.9,40.9,10.34
2019-01-13 14:00:00,75,17.7,55.2,9.74
2019-01-13 15:00:00,42,18.6,46.5,9.72
2019-01-13 16:00:00,55,15.3,55.4,10.7
2019-01-13 17:00:00,47,30.6,17.9,9.33
2019-01-13 18:00:00,52,34.9,56.3,9.86
2019-01-13 19:00:00,62,26.6,74.5,10.86
2019-01-13 20:00:00,56,25.8,74.4,9.41
2019-01-13 21:00:00,10,24.0,71.0,9.93
2019-01-13 22:00:00,12,27.9,75.4,9.75
2019-01-13 23:00:00,15,37.0,30.0,10.27
2019-01-14 00:00:00,55,14.9,42.5,10.12
2019-01-14 01:00:00,77,30.5,75.8,9.96
2019-01-14 02:00:00,52,24.2,54.2,10.38
2019-01-14 03:00:00,67,24.1,52.5,9.54
2019-01-14 04:00:00,40,19.3,12.9,9.91
2019-01-14 05:00:00,76,35.9,69.0,9.32
2019-01-14 06:00:00,48,22.8,45.7,10.79
2019-01-14 07:00:00,24,31.1,74.8,9.76
2019-01-14 08:00:00,16,22.2,39.6,9.84
2019-01-14 09:00:00,11,19.3,41.7,10.25
2019-01-14 10:00:00,40,18.6,43.9,9.44
2019-01-14 11:00:00,59,26.3,60.5,9.67
2019-01-14 12:00:00,70,27.6,63.1,10.77
2019-01-14 13:00:00,64,19.8,32.3,10.59
2019-01-14 14:00:00,35,28.5,51.7,9.04
2019-01-14 15:00:00,76,34.8,52.4,10.1
2019-01-14 16:00:00,38,15.8,57.3,10.39
2019-01-14 17:00:00,49,19.4,68.5,9.24
2019-01-14 18:00:00,48,28.5,74.3,10.27
2019-01-14 19:00:00,70,14.6,33.8,9.02
2019-01-14 20:00:00,25,32.6,47.2,9.15
2019-01-14 21:00:00,49,17.7,72.0,9.96
2019-01-14 22:00:00,32,17.1,23.2,10.9
2019-01-14 23:00:00,34,26.8,42.8,9.15
2019-01-15 00:00:00,29,18.5,62.1,9.9
2019-01-15 01:00:00,41,37.5,54.9,10.56
2019-01-15 02:00:00,36,28.5,43.4,9.89
2019-01-15 03:00:00,21,21.2,79.9,10.29
2019-01-15 04:00:00,13,25.6,58.4,10.93
2019-01-15 05:00:00,14,20.3,33.8,9.42
2019-01-15 06:00:00,59,25.7,57.8,10.23
2019-01-15 07:00:00,25,34.0,33.1,10.11
2019-01-15 08:00:00,56,26.6,62.8,10.76
2019-01-15 09:00:00,60,18.6,14.9,10.5
2019-01-15 10:00:00,14,27.9,38.8,9.77
2019-01-15 11:00:00,67,15.3,25.3,9.75
2019-01-15 12:00:00,49,26.7,12.6,9.58
2019-01-15 13:00:00,67,37.7,12.9,9.21
2019-01-15 14:00:00,60,26.8,13.0,9.06
2019-01-15 15:00:00,30,21.4,29.4,9.3
2019-01-15 16:00:00,50,24.6,16.9,9.27
2019-01-15 17:00:00,31,26.0,70.0,10.6
2019-01-15 18:00:00,62,22.1,13.1,9.28
2019-01-15 19:00:00,65,17.7,67.3,9.95
2019-01-15 20:00:00,40,15.5,40.1,10.83
2019-01-15 21:00:00,79,15.4,25.8,10.0
2019-01-15 22:00:00,68,24.2,30.2,9.38
2019-01-15 23:00:00,77,19.1,12.9,9.8
2019-01-16 00:00:00,56,16.5,41.0,9.62
2019-01-16 01:00:00,35,31.8,60.4,10.39
2019-01-16 02:00:00,30,19.8,76.9,9.28
2019-01-16 03:00:00,66,28.0,19.3,9.45
2019-01-16 04:00:00,17,16.3,40.0,9.92
2019-01-16 05:00:00,11,22.3,51.6,9.44
2019-01-16 06:00:00,37,26.3,32.7,9.11
2019-01-16 07:00:00,33,33.0,79.6,10.32
2019-01-16 08:00:00,61,36.3,24.1,9.08
2019-01-16 09:00:00,22,26.0,38.7,9.31
2019-01-16 10:00:00,27,28.2,17.2,9.95
2019-01-16 11:00:00,69,31.0,52.2,10.72
2019-01-16 12:00:00,63,16.9,64.0,10.87
2019-01-16 13:00:00,74,37.7,12.1,10.3
2019-01-16 14:00:00,65,29.9,52.2,9.92
2019-01-16 15:00:00,31,23.7,15.5,9.43
2019-01-16 16:00:00,48,23.2,19.1,9.73
2019-01-16 17:00:00,76,36.9,49.0,9.57
2019-01-16 18:00:00,49,18.6,62.0,10.67
2019-01-16 19:00:00,60,14.9,30.6,9.82
2019-01-16 20:00:00,75,31.8,71.0,9.64
2019-01-16 21:00:00,58,25.5,26.8,10.58
2019-01-16 22:00:00,10,36.3,62.2,9.82
2019-01-16 23:00:00,26,34.2,77.7,9.8
2019-01-17 00:00:00,73,28.5,28.5,10.47
2019-01-17 01:00:00,70,37.4,70.4,10.45
2019-01-17 02:00:00,17,34.0,52.0,9.3
2019-01-17 03:00:00,60,25.5,14.8,9.86
2019-01-17 04:00:00,29,29.8,26.3,10.46
2019-01-17 05:00:00,59,32.0,57.1,9.9
2019-01-17 06:00:00,50,14.6,51.7,10.9
2019-01-17 07:00:00,17,20.4,24.9,10.96
2019-01-17 08:00:00,44,21.1,28.7,9.31
2019-01-17 09:00:00,60,34.5,40.7,10.68
2019-01-17 10:00:00,76,32.7,72.3,10.49
2019-01-17 11:00:00,64,17.3,32.9,10.74
2019-01-17 12:00:00,25,23.3,13.9,9.17
2019-01-17 13:00:00,47,37.5,49.2,9.99
2019-01-17 14:00:00,10,21.7,24.2,9.89
2019-01-17 15:00:00,51,19.5,67.6,10.61
2019-01-17 16:00:00,20,29.2,44.7,10.31
2019-01-17 17:00:00,44,14.7,64.0,10.7
2019-01-17 18:00:00,75,25.4,47.0,10.64
2019-01-17 19:00:00,78,34.9,16.0,9.81
2019-01-17 20:00:00,48,31.5,36.5,9.32
2019-01-17 21:00:00,56,21.3,38.9,9.99
2019-01-17 22:00:00,41,29.4,12.4,10.51
2019-01-17 23:00:00,49,29.2,78.1,9.95
2019-01-18 00:00:00,31,28.4,26.5,10.73
2019-01-18 01:00:00,74,35.7,36.8,9.71
2019-01-18 02:00:00,69,22.8,76.3,9.46
2019-01-18 03:00:00,70,14.1,23.6,9.27
2019-01-18 04:00:00,60,28.7,47.4,9.66
2019-01-18 05:00:00,33,23.8,78.4,9.17
2019-01-18 06:00:00,61,32.8,57.4,9.97
2019-01-18 07:00:00,59,19.7,29.7,9.16
2019-01-18 08:00:00,68,28.9,78.3,9.44
2019-01-18 09:00:00,52,16.3,24.0,10.3
2019-01-18 10:00:00,19,36.8,13.4,9.03
2019-01-18 11:00:00,54,15.4,64.2,9.13
2019-01-18 12:00:00,36,27.2,63.0,10.3
2019-01-18 13:00:00,33,34.1,67.9,10.8
2019-01-18 14:00:00,11,17.5,22.6,10.54
2019-01-18 15:00:00,28,31.2,15.3,10.63
2019-01-18 16:00:00,59,34.8,12.8,9.65
2019-01-18 17:00:00,56,18.0,34.7,10.12
2019-01-18 18:00:00,43,24.8,72.4,9.89
2019-01-18 19:00:00,27,36.4,30.4,9.46
2019-01-18 20:00:00,74,22.2,58.0,9.27
2019-01-18 21:00:00,58,32.7,31.8,9.91
2019-01-18 22:00:00,71,36.1,57.3,9.58
2019-01-18 23:00:00,27,21.0,21.7,10.44
2019-01-19 00:00:00,16,33.5,13.0,10.98
2019-01-19 01:00:00,25,21.2,72.7,10.15
2019-01-19 02:00:00,50,34.6,33.2,10.99
2019-01-19 03:00:00,54,25.9,65.5,9.03
2019-01-19 04:00:00,41,18.7,12.6,10.2
2019-01-19 05:00:00,16,27.8,41.7,10.32
2019-01-19 06:00:00,77,27.9,37.5,10.18
2019-01-19 07:00:00,24,36.2,65.2,10.14
2019-01-19 08:00:00,56,34.2,19.5,9.1
2019-01-19 09:00:00,30,17.6,41.7,10.89
2019-01-19 10:00:00,14,22.9,61.8,9.1
2019-01-19 11:00:00,12,33.6,21.5,10.42
2019-01-19 12:00:00,57,37.5,79.0,10.98
2019-01-19 13:00:00,44,18.5,69.2,10.8
2019-01-19 14:00:00,34,32.5,23.9,10.17
2019-01-19 15:00:00,60,16.9,55.8,10.33
2019-01-19 16:00:00,62,36.8,48.2,10.51
2019-01-19 17:00:00,63,30.1,20.2,10.04
2019-01-19 18:00:00,23,31.7,21.0,10.21
2019-01-19 19:00:00,78,17.8,53.3,10.79
2019-01-19 20:00:00,38,17.1,36.2,10.96
2019-01-19 21:00:00,16,33.8,18.3,10.02
2019-01-19 22:00:00,12,32.3,27.5,9.63
2019-01-19 23:00:00,72,35.3,41.9,9.15
2019-01-20 00:00:00,15,37.0,50.4,10.32
2019-01-20 01:00:00,29,29.0,74.0,10.19
2019-01-20 02:00:00,61,15.5,13.7,10.5
2019-01-20 03:00:00,40,33.2,68.1,10.06
2019-01-20 04:00:00,11,31.7,35.5,9.85
2019-01-20 05:00:00,63,15.8,36.6,9.47
2019-01-20 06:00:00,37,22.3,57.5,9.82
2019-01-20 07:00:00,20,24.4,74.6,10.48
2019-01-20 08:00:00,34,30.3,16.5,10.12
2019-01-20 09:00:00,79,22.7,53.8,10.31
2019-01-20 10:00:00,64,37.0,67.2,9.33
2019-01-20 11:00:00,54,16.2,17.4,10.41
2019-01-20 12:00:00,76,34.3,20.2,10.91
2019-01-20 13:00:00,51,36.8,79.9,10.53
2019-01-20 14:00:00,31,20.6,63.2,9.62
2019-01-20 15:00:00,59,26.7,71.2,9.84
2019-01-20 16:00:00,27,34.5,52.4,9.69
2019-01-20 17:00:00,46,37.9,55.8,9.53
2019-01-20 18:00:00,26,25.4,69.5,10.68
2019-01-20 19:00:00,79,27.3,27.1,10.62
2019-01-20 20:00:00,67,24.3,32.5,9.86
2019-01-20 21:00:00,73,21.3,59.4,10.65
2019-01-20 22:00:00,55,30.5,40.6,10.34
2019-01-20 23:00:00,57,15.4,67.1,10.29
2019-01-21 00:00:00,24,28.0,49.6,9.57
2019-01-21 01:00:00,70,36.6,46.6,9.33
2019-01-21 02:00:00,60,33.4,44.8,9.7
2019-01-21 03:00:00,63,15.1,22.9,9.12
2019-01-21 04:00:00,12,25.9,77.5,9.76
2019-01-21 05:00:00,48,31.5,50.0,9.36
2019-01-21 06:00:00,38,23.5,54.5,10.34
2019-01-21 07:00:00,68,19.1,77.3,10.14
2019-01-21 08:00:00,72,16.2,49.8,9.36
2019-01-21 09:00:00,64,17.1,18.5,9.87
2019-01-21 10:00:00,79,29.6,31.3,9.48
2019-01-21 11:00:00,50,21.2,39.4,9.21
2019-01-21 12:00:00,71,30.2,25.0,10.29
2019-01-21 13:00:00,33,27.2,63.7,9.72
2019-01-21 14:00:00,44,15.3,35.5,9.04
2019-01-21 15:00:00,79,33.7,71.6,9.07
2019-01-21 16:00:00,25,32.8,35.7,10.14
2019-01-21 17:00:00,79,27.3,34.5,10.46
2019-01-21 18:00:00,30,20.2,48.4,9.59
2019-01-21 19:00:00,36,19.9,26.4,10.65
2019-01-21 20:00:00,36,19.6,73.9,10.93
2019-01-21 21:00:00,55,15.9,27.8,10.44
2019-01-21 22:00:00,15,26.5,31.3,10.48
2019-01-21 23:00:00,74,28.4,51.4,10.0
2019-01-22 00:00:00,44,29.2,63.3,9.67
2019-01-22 01:00:00,57,16.2,68.0,10.52
2019-01-22 02:00:00,29,25.6,77.9,10.78
2019-01-22 03:00:00,40,21.1,23.5,9.11
2019-01-22 04:00:00,29,18.1,56.0,9.7
2019-01-22 05:00:00,30,17.9,39.6,9.45
2019-01-22 06:00:00,42,16.9,31.1,10.65
2019-01-22 07:00:00,63,24.8,14.5,9.17
2019-01-22 08:00:00,69,29.4,38.4,10.31
2019-01-22 09:00:00,11,18.4,61.7,10.67
2019-01-22 10:00:00,23,17.9,34.4,10.27
2019-01-22 11:00:00,48,15.2,39.4,9.51
2019-01-22 12:00:00,70,14.9,54.6,10.89
